//生成する敵のデータ
//--------------------------------------------------------------------------
//Wave			出現するステージ番号
//Type			出現する敵の種類
//StartLocationX	敵の出現座標（X）
//StartLocationY	敵の出現座標（Y）
//StartLocationZ	敵の出現座標（Z）
//GoalLocationX		敵の目標地点（X）
//GoalLocationY		敵の目標地点（Y）
//GoalLocationZ		敵の目標地点（Z）
//MoveTime		敵が目標地点に行くまでにかける時間（秒）
//EnemyHP		敵の体力
//AttackTime		敵の移動が終わってから攻撃するまでの時間（秒）
//--------------------------------------------------------------------------
1,White,1500,270,260,840,130,100,10,100,20
1,Green,1500,0,210,0,840,0,100,100,20
1,White,1500,-280,160,840,-100,150,10,100,20
2,Red,3700,280,210,3100,100,120,10,10000,20
2,White,3700,160,260,3100,50,130,10,10000,20
2,Green,3700,-100,270,3100,-50,110,10,10000,20
2,Red,3700,-200,180,3100,-100,150,10,10000,20
3,Blue,4750,-1300,260,4850,-150,150,10,10000,20
3,Red,4900,-1000,170,4850,-150,150,10,10000,20
4,White,6700,450,270,6100,100,150,10,10000,20
4,Green,6700,250,80,6100,60,130,10,10000,20
4,Red,6700,-170,240,6100,-30,140,10,10000,20
4,Blue,6700,-450,120,6100,0,120,10,10000,20
5,White,7800,850,260,7800,140,100,10,10000,20
5,White,7800,-1100,230,7800,-70,130,10,10000,20
6,Boss,9600,0,260,9000,0,200,10,10000,20
