//生成する敵のデータ
//--------------------------------------------------------------------------
//Wave			出現するステージ番号
//Type			出現する敵の種類
//StartLocationX	敵の出現座標（X）
//StartLocationY	敵の出現座標（Y）
//StartLocationZ	敵の出現座標（Z）
//GoalLocationX		敵の目標地点（X）
//GoalLocationY		敵の目標地点（Y）
//GoalLocationZ		敵の目標地点（Z）
//MoveTime		敵が目標地点に行くまでにかける時間（秒）
//EnemyHP		敵の体力
//AttackTime		敵の移動が終わってから攻撃するまでの時間（秒）
//--------------------------------------------------------------------------
//Spawn1,770,0,20
1,White,1500,430,150,0,0,0,10,100,20
1,Green,1500,110,210,0,0,0,10,100,20
1,White,1500,-180,160,0,0,0,10,100,20
//Spawn2,2970,0,20
2,Red,3100,100,210,0,0,0,10,10000,20
//Spawn3,4770,0,20
3,Blue,440,510,150,0,0,0,10,10000,20
3,White,4400,310,210,0,0,0,10,10000,20
3,Green,4400,-60,160,0,0,0,10,10000,20
3,Red,4400,-290,120,0,0,0,10,10000,20
//Spawn4,5970,0,20
4,White,7210,-2310,150,0,0,0,10,10000,20
4,Green,6870,-2310,210,0,0,0,10,10000,20
4,Red,6660,-2310,160,0,0,0,10,10000,20
4,Blue,6400,-2310,400,0,0,0,10,10000,20
//Spawn5,7770,0,20
5,White,6800,-5470,-510,0,0,0,10,10000,20
//Spawn6,8970,0,20
6,Boss,6800,-7030,-510,0,0,0,10,10000,20
